"DATE","TIME PERIOD","All euro area yield curve - 10-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_10Y)","All euro area yield curve - 1-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_1Y)","All euro area yield curve - 20-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_20Y)","All euro area yield curve - 2-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_2Y)","All euro area yield curve - 30-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_30Y)","All euro area yield curve - 3-month spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_3M)","All euro area yield curve - 3-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_3Y)","All euro area yield curve - 5-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_5Y)","All euro area yield curve - 6-month spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_6M)","All euro area yield curve - 7-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_7Y)"
"2004-09-06","06 Sep 2004","4.262767","2.297177","4.853754","2.655494","5.056951","2.001665","2.971161","3.483732","2.102528","3.865320"
"2004-09-07","07 Sep 2004","4.260667","2.325058","4.843471","2.692793","5.048499","2.009089","3.007337","3.507232","2.118527","3.875767"
"2004-09-08","08 Sep 2004","4.280397","2.343190","4.849884","2.719752","5.048763","2.014613","3.037741","3.537117","2.129000","3.901783"
"2004-09-09","09 Sep 2004","4.215735","2.306193","4.803332","2.657901","5.008323","2.010833","2.964255","3.458998","2.112336","3.828046"
"2004-09-10","10 Sep 2004","4.175095","2.270257","4.773952","2.601720","4.979773","2.006281","2.901460","3.399440","2.095246","3.777004"
"2004-09-13","13 Sep 2004","4.190623","2.302381","4.787037","2.648867","4.998307","2.010258","2.950251","3.437785","2.110816","3.803400"
"2004-09-14","14 Sep 2004","4.184910","2.292034","4.780776","2.631707","4.987727","2.011633","2.931781","3.422890","2.107436","3.793248"
"2004-09-15","15 Sep 2004","4.182229","2.295142","4.775821","2.633768","4.981614","2.015563","2.932908","3.422519","2.111093","3.791770"
"2004-09-16","16 Sep 2004","4.182469","2.305801","4.770803","2.646354","4.975332","2.021747","2.944968","3.430938","2.119161","3.796290"
"2004-09-17","17 Sep 2004","4.158154","2.281607","4.781514","2.604930","5.003229","2.021331","2.896479","3.383288","2.109491","3.757098"
"2004-09-20","20 Sep 2004","4.133185","2.280712","4.729902","2.604454","4.937126","2.018240","2.894616","3.375890","2.107360","3.742732"
"2004-09-21","21 Sep 2004","4.140162","2.288955","4.735375","2.614429","4.942264","2.023524","2.904955","3.385402","2.113844","3.751048"
"2004-09-22","22 Sep 2004","4.118520","2.289687","4.707744","2.611418","4.912732","2.026928","2.898364","3.372748","2.116390","3.733894"
"2004-09-23","23 Sep 2004","4.050970","2.244478","4.651128","2.537945","4.855562","2.022301","2.813538","3.287085","2.095789","3.655829"
"2004-09-24","24 Sep 2004","4.090421","2.282541","4.686730","2.592180","4.892928","2.033869","2.872200","3.341424","2.118050","3.702756"
"2004-09-27","27 Sep 2004","4.066983","2.268763","4.661739","2.569382","4.863442","2.032291","2.845410","3.313635","2.111740","3.676864"
"2004-09-28","28 Sep 2004","4.065095","2.265436","4.664844","2.563763","4.868543","2.032201","2.838955","3.307683","2.110387","3.672482"
"2004-09-29","29 Sep 2004","4.104134","2.287571","4.705002","2.598840","4.911009","2.036293","2.879683","3.350334","2.121544","3.713522"
"2004-09-30","30 Sep 2004","4.115249","2.284069","4.732668","2.600919","4.949838","2.024796","2.884229","3.356526","2.113202","3.721009"
"2004-10-01","01 Oct 2004","4.138113","2.273779","4.752529","2.581363","4.955839","2.034256","2.866019","3.352226","2.114442","3.731089"
"2004-10-04","04 Oct 2004","4.167806","2.288877","4.761484","2.611698","4.954348","2.030037","2.903937","3.393394","2.117611","3.768825"
"2004-10-05","05 Oct 2004","4.121225","2.276910","4.725786","2.587811","4.927159","2.029770","2.871486","3.350954","2.113150","3.722435"
"2004-10-06","06 Oct 2004","4.117859","2.276837","4.712432","2.583830","4.905667","2.036292","2.866549","3.347067","2.116999","3.719629"
"2004-10-07","07 Oct 2004","4.128172","2.274580","4.728471","2.581843","4.923361","2.035085","2.865856","3.349962","2.115281","3.725985"
"2004-10-08","08 Oct 2004","4.075576","2.228748","4.685971","2.514965","4.881233","2.021519","2.791925","3.278955","2.088858","3.663346"
"2004-10-11","11 Oct 2004","4.086838","2.231319","4.705055","2.515791","4.903545","2.027656","2.792926","3.282623","2.093519","3.670326"
"2004-10-12","12 Oct 2004","4.042219","2.208087","4.666448","2.480038","4.868303","2.020482","2.750695","3.236033","2.080162","3.623769"
"2004-10-13","13 Oct 2004","4.054827","2.222088","4.670037","2.499500","4.867880","2.026243","2.771985","3.256208","2.089193","3.640896"
"2004-10-14","14 Oct 2004","4.034598","2.206247","4.655621","2.474611","4.855831","2.024524","2.744052","3.229156","2.081814","3.616873"
"2004-10-15","15 Oct 2004","4.026247","2.184293","4.644564","2.442773","4.841056","2.025630","2.713172","3.208122","2.073073","3.603710"
"2004-10-18","18 Oct 2004","4.030702","2.186000","4.664624","2.443399","4.870155","2.026838","2.712473","3.206481","2.074671","3.603560"
"2004-10-19","19 Oct 2004","4.053537","2.195559","4.681642","2.458424","4.883991","2.031681","2.731527","3.229703","2.081104","3.627637"
"2004-10-20","20 Oct 2004","4.012029","2.173812","4.647418","2.419621","4.854611","2.036704","2.686344","3.183153","2.075328","3.583152"
"2004-10-21","21 Oct 2004","4.008444","2.181390","4.639969","2.429235","4.846299","2.038141","2.694832","3.187109","2.079453","3.583195"
"2004-10-22","22 Oct 2004","4.008330","2.191324","4.640858","2.441675","4.849356","2.040440","2.705954","3.193223","2.085103","3.585552"
"2004-10-25","25 Oct 2004","3.969284","2.169521","4.615084","2.403250","4.831063","2.042913","2.660623","3.145981","2.077947","3.541194"
"2004-10-26","26 Oct 2004","3.965425","2.170492","4.616304","2.400600","4.835358","2.048369","2.656050","3.140224","2.081694","3.535832"
"2004-10-27","27 Oct 2004","3.963205","2.175501","4.605492","2.406093","4.820382","2.052677","2.661443","3.144104","2.086258","3.537344"
"2004-10-28","28 Oct 2004","4.041888","2.220285","4.659443","2.479081","4.860381","2.059353","2.747642","3.236167","2.107771","3.625411"
"2004-10-29","29 Oct 2004","3.984351","2.213619","4.647844","2.462530","4.878510","2.047210","2.715932","3.181114","2.099465","3.562175"
"2004-11-01","01 Nov 2004","3.993113","2.197215","4.622502","2.442088","4.830759","2.052788","2.702695","3.184926","2.094980","3.573738"
"2004-11-02","02 Nov 2004","4.038669","2.221626","4.661604","2.475003","4.841826","2.053249","2.734892","3.215369","2.106062","3.609060"
"2004-11-03","03 Nov 2004","4.037285","2.203518","4.662800","2.468651","4.845312","2.018627","2.733641","3.215988","2.077917","3.608636"
"2004-11-04","04 Nov 2004","4.037882","2.201768","4.663923","2.466404","4.846267","2.018034","2.731534","3.214797","2.076837","3.608362"
"2004-11-05","05 Nov 2004","4.038600","2.195743","4.662084","2.463266","4.842849","2.008925","2.730273","3.215403","2.068861","3.609447"
"2004-11-08","08 Nov 2004","4.038312","2.189940","4.658240","2.460401","4.836976","1.999852","2.729206","3.215876","2.061000","3.610026"
"2004-11-09","09 Nov 2004","3.998958","2.243674","4.601893","2.484976","4.773291","2.085755","2.734667","3.199237","2.134940","3.581402"
"2004-11-10","10 Nov 2004","3.982753","2.231960","4.581569","2.464765","4.749095","2.087957","2.712073","3.178430","2.131527","3.563445"
"2004-11-11","11 Nov 2004","3.962699","2.205536","4.564964","2.426575","4.731990","2.082789","2.671949","3.144465","2.117645","3.536825"
"2004-11-12","12 Nov 2004","3.935129","2.201768","4.534617","2.420596","4.701898","2.077984","2.662141","3.126930","2.113568","3.513745"
"2004-11-15","15 Nov 2004","3.900161","2.199984","4.505651","2.408663","4.677639","2.085391","2.642432","3.097533","2.117770","3.480032"
"2004-11-16","16 Nov 2004","3.876626","2.221833","4.477979","2.435353","4.653122","2.090238","2.664049","3.101297","2.130069","3.468757"
"2004-11-17","17 Nov 2004","3.895830","2.221039","4.498063","2.438722","4.672326","2.086328","2.671178","3.114197","2.127174","3.485266"
"2004-11-18","18 Nov 2004","3.924663","2.245662","4.525740","2.473803","4.701322","2.094794","2.709639","3.150981","2.142081","3.518073"
"2004-11-19","19 Nov 2004","3.907195","2.233429","4.508391","2.456887","4.683414","2.089133","2.690745","3.131637","2.133847","3.499576"
